Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
The Reader,Drama-Romance,en,Studio Babelsberg,Germany,2008,$32000000,$113019290.0
Leprechaun 2,Comedy-Horror,en,Planet Productions,United States of America,1994,$2000000,$2260622.0
Outland,Science Fiction,en,The Ladd Company,United Kingdom,1981,$16000000,$17374595.0
Kidnap,Foreign-Thriller-Crime,en,Shree Ashtavinayak Cinevision Ltd,India,2008,$10000000,$8750000.0
The Expendables,Thriller-Adventure-Action,en,Millennium Films,United States of America,2010,$80000000,$274470394.0
The Heartbreak Kid,Comedy,en,Conundrum Entertainment,United States of America,2007,$60000000,$127766650.0
Misery,Drama-Thriller,en,Columbia Pictures,United States of America,1990,$20000000,$61276872.0
The Chronicles of Riddick,Action-Science Fiction,en,One Race Films,United States of America,2004,$105000000,$115772733.0
Jessica Simpson - Reality Tour Live,Music,en,none,United States of America,2004,$500000,$2303489.0
Monty Python and the Holy Grail,Adventure-Comedy-Fantasy,en,Python (Monty) Pictures Limited,United Kingdom,1975,$400000,$5028948.0
Cellular,Action-Adventure-Crime-Thriller,en,New Line Cinema,Germany,2004,$25000000,$56422687.0
Little Children,Romance-Drama,en,New Line Cinema,United States of America,2006,$26000000,$14821658.0
Rear Window,Drama-Mystery-Thriller,en,Paramount Pictures,United States of America,1954,$1000000,$36764313.0
The Fan,Drama-Mystery-Thriller,en,TriStar Pictures,United States of America,1996,$55000000,$18626419.0
Divergent,Adventure-Action-Science Fiction,en,Summit Entertainment,United States of America,2014,$85000000,$288747895.0
Criminal,Action,en,Lionsgate,United Kingdom,2016,$31500000,$14708696.0
Elizabeth- The Golden Age,Drama-History-Romance,en,Universal Pictures,United Kingdom,2007,$25000000,$74237563.0
Eegah,Horror,en,Fairway International Pictures,United States of America,1962,$15000,$3274.0
Donovan's Reef,Adventure-Comedy-Romance,en,Paramount Pictures,United States of America,1963,$2686000,$6600000.0
The Hunt,Drama,da,Zentropa Entertainments,Denmark,2012,$3800000,$16800000.0
Domino,Action-Crime,en,New Line Cinema,France,2005,$50000000,$22944502.0
Nick of Time,Crime-Drama-Thriller,en,Paramount Pictures,United States of America,1995,$8169363,$8175346.0
For the First Time,Drama-Romance,tl,ABS-CBN Film Productions,Greece,2008,$799634,$3036326.0
Kingsman- The Secret Service,Crime-Comedy-Action-Adventure,en,Twentieth Century Fox Film Corporation,United Kingdom,2015,$81000000,$414351546.0
Eragon,Fantasy-Action-Adventure-Family,en,Ingenious Film Partners,United Kingdom,2006,$100000000,$249288105.0
Va,Action-Comedy-Drama,ta,Y NOT Studios,India,2010,$300000,$1500000.0
Zulu,Action-Drama-History-War,en,Diamond Films,United Kingdom,1964,$3500000,$8000000.0
Race to Witch Mountain,Adventure-Family-Fantasy-Science Fiction-Thriller-Action,en,Walt Disney Pictures,United States of America,2009,$50000000,$106303988.0
Punch,Drama-Foreign,ko,CJ Entertainment,South Korea,2011,$4160000,$34000000.0
Capitalism- A Love Story,Documentary,en,The Weinstein Company,United States of America,2009,$20000000,$17436509.0
The Greatest Game Ever Played,Drama-Family,en,Walt Disney Pictures,United States of America,2005,$25000000,$15431177.0
Flightplan,Thriller-Drama-Mystery,en,Imagine Entertainment,United States of America,2005,$55000000,$223387299.0
Mirror Mirror,Adventure-Fantasy-Drama-Comedy-Science Fiction-Family,en,Relativity Media,United States of America,2012,$85000000,$183018522.0
Police Adjective,Drama-Foreign,ro,HBO,Romania,2009,$1089360,$48298.0
The Samaritan,Thriller,en,Quickfire Films,Canada,2012,$12000000,$2521.0
Friday the 13th Part VI- Jason Lives,Horror-Mystery-Thriller,en,Paramount Pictures,United States of America,1986,$3000000,$19472057.0
Life or Something Like It,Comedy-Drama-Romance,en,Regency Enterprises,Canada,2002,$40000000,$16872671.0
The Hunt for Red October,Action-Adventure-Thriller,en,Paramount Pictures,United States of America,1990,$30000000,$199200000.0
Air Bud,Comedy-Family-Drama,en,Walt Disney Pictures,Canada,1997,$3000000,$23144499.0
Novocaine,Comedy-Crime-Thriller,en,Numb Gums Production Inc.,United States of America,2001,$6000000,$2025238.0
Demonic,Thriller-Horror,en,Icon Entertainment International,United Kingdom,2015,$3000000,$3387000.0
Hot to Trot,Comedy,en,Warner Bros.,United States of America,1988,$9000000,$6436211.0
Somebody Up There Likes Me,Drama,en,Metro-Goldwyn-Mayer (MGM),United States of America,1956,$1920000,$3360000.0
24,Action-Science Fiction-Thriller,ta,Studio Green,India,2016,$10000000,$15000000.0
There's Something About Mary,Romance-Comedy,en,Twentieth Century Fox Film Corporation,United States of America,1998,$23000000,$369884651.0
Aftershock,Horror-Thriller,es,Cross Creek Pictures,Chile,2012,$2000000,$58510.0
Alvin and the Chipmunks,Comedy-Music-Family-Fantasy-Animation,en,Dune Entertainment,United States of America,2007,$60000000,$361366633.0
Transcendence,Thriller-Science Fiction-Drama-Mystery,en,Alcon Entertainment,China,2014,$100000000,$103039258.0
Sarah's Key,Drama-War,fr,France 2 Cinema,France,2010,$10000000,$17511906.0
Red Tails,Drama-Action-Adventure-History-War,en,Lucasfilm,United States of America,2012,$58000000,$50365377.0
The Twilight Saga- Breaking Dawn - Part 2,Adventure-Fantasy-Drama-Romance,en,Summit Entertainment,United States of America,2012,$120000000,$829000000.0
Total Recall,Action-Adventure-Science Fiction,en,TriStar Pictures,United States of America,1990,$65000000,$261317921.0
Laws of Attraction,Action-Comedy-Romance-Thriller,en,New Line Cinema,Germany,2004,$28000000,$30016165.0
13 Going on 30,Comedy-Fantasy-Romance,en,Columbia Pictures,United States of America,2004,$37000000,$96455697.0
Broadway Danny Rose,Comedy,en,Orion Pictures Corporation,United States of America,1984,$8000000,$10600497.0
Assassins,Action-Adventure-Crime-Thriller,en,Silver Pictures,France,1995,$50000000,$30303072.0
The Bourne Supremacy,Action-Drama-Thriller,en,Universal Pictures,Germany,2004,$75000000,$288500217.0
The Iron Giant,Adventure-Animation-Family-Fantasy-Science Fiction,en,Warner Bros. Animation,United States of America,1999,$70000000,$23159305.0
Bachna Ae Haseeno,Drama-Comedy-Romance,hi,Yash Raj Films,Australia,2008,$2400000,$9600000.0
Baby's Day Out,Action-Adventure-Comedy-Family,en,Twentieth Century Fox Film Corporation,United States of America,1994,$50000000,$16671505.0
Alive,Action-Adventure-Drama-Thriller,en,Paramount Pictures,United States of America,1993,$32000000,$36733909.0
Ghosts of the Abyss,Documentary,en,Walt Disney Pictures,Mexico,2003,$13000000,$17040871.0
My Bloody Valentine,Mystery-Horror,en,Lionsgate,United States of America,2009,$15000000,$100734718.0
Cheri,Drama-Comedy-Romance,en,Pathe Renn Productions,Germany,2009,$23000000,$9366227.0
The World Is Not Enough,Adventure-Action-Thriller,en,Eon Productions,,1999,$135000000,$361832400.0
Possession,Drama-Mystery-Romance,en,Warner Bros. Pictures,United Kingdom,2002,$25000000,$10113733.0
Missing in Action,Action-Adventure-Thriller-War,en,Cannon Group,United States of America,1984,$1500000,$22812411.0
Blowin' In The Wind,Documentary,en,none,Australia,2005,$12000,$167000.0
Unfaithful,Thriller-Drama,en,Regency Enterprises,United States of America,2002,$50000000,$119137784.0
Dan in Real Life,Comedy-Romance-Drama,en,Touchstone Pictures,United States of America,2007,$25000000,$68377859.0
Final Destination,Horror,en,New Line Cinema,United States of America,2000,$23000000,$53302314.0
My Cousin Vinny,Comedy-Drama,en,Twentieth Century Fox Film Corporation,United States of America,1992,$11000000,$64088552.0
