Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Bedknobs and Broomsticks,Adventure-Fantasy-Animation-Comedy-Family-Music,en,Walt Disney Productions,United States of America,1971,$20000000,$17900000.0
Angels & Demons,Thriller-Mystery,en,Columbia Pictures,Italy,2009,$150000000,$356613439.0
The First Wives Club,Comedy,en,Scott Rudin Productions,United States of America,1996,$26000000,$116400000.0
Dark Angel,Action-Thriller-Science Fiction-Crime-Horror,en,Epic Productions,United States of America,1990,$7000000,$9229401.0
Stitches,Horror,en,Bord Scannan na heireann,Ireland,2012,$100000,$95000.0
Zero Dark Thirty,Thriller-Drama-History,en,Columbia Pictures,United States of America,2012,$40000000,$132820716.0
Seven Pounds,Drama,en,Columbia Pictures,United States of America,2008,$55000000,$168167691.0
Midnight Cowboy,Drama,en,United Artists,United States of America,1969,$3600000,$44785053.0
Narc,Action-Crime-Drama-Thriller,en,Paramount Pictures,Canada,2002,$6500000,$12633747.0
Heaven's Gate,Action-Drama-History-Western,en,United Artists,United States of America,1980,$44000000,$3484331.0
Ferris Bueller's Day Off,Comedy,en,Paramount Pictures,United States of America,1986,$6000000,$70136369.0
Moonlight,Drama,en,Plan B Entertainment,United States of America,2016,$1500000,$55561162.0
Blue Crush,Adventure,en,Imagine Entertainment,Germany,2002,$25000000,$51842679.0
Frozen,Animation-Adventure-Family,en,Walt Disney Pictures,United States of America,2013,$150000000,$1274219009.0
Welcome to the Punch,Action-Adventure-Crime,en,Scott Free Productions,United Kingdom,2013,$8500000,$9747.0
Chennai Express,Romance-Comedy-Action,hi,UTV Motion Pictures,India,2013,$11000000,$60000000.0
John Wick- Chapter 2,Thriller-Action-Crime,en,Thunder Road Pictures,United States of America,2017,$40000000,$166835326.0
Penguins of Madagascar- Operation Antarctica,Comedy-Animation,en,DreamWorks Home Entertainment,United States of America,2012,$30000,$1000000.0
Pink Flamingos,Comedy-Crime,en,Dreamland Productions,United States of America,1972,$12000,$6000000.0
Speed 2- Cruise Control,Action-Adventure-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,1997,$160000000,$164508066.0
Cradle 2 the Grave,Action-Crime-Drama,en,Silver Pictures,United States of America,2003,$25000000,$56489558.0
Harry Potter and the Goblet of Fire,Adventure-Fantasy-Family,en,Patalex IV Productions Limited,United Kingdom,2005,$150000000,$895921036.0
It's Complicated,Comedy-Romance,en,Universal Pictures,United States of America,2009,$85000000,$219103655.0
Freedom Writers,,en,Double Feature Films,Germany,2007,$21000000,$41170784.0
Moana,Family-Animation,en,Walt Disney Pictures,United States of America,2016,$150000000,$533220864.0
Mangal Pandey - The Rising,Drama,en,none,India,2005,$70000000,$7250000.0
Allied,Action-Drama-War-Romance-Thriller,en,Paramount Pictures,United Kingdom,2016,$85000000,$119520023.0
He's Just Not That Into You,Comedy-Romance-Drama,en,New Line Cinema,Netherlands,2009,$40000000,$177259441.0
Win Win,Drama-Comedy,en,Fox Searchlight Pictures,United States of America,2011,$10831173,$10654385.0
Leon- The Professional,Thriller-Crime-Drama,fr,Columbia Pictures,France,1994,$16000000,$45284974.0
Mission to Mars,Science Fiction,en,Spyglass Entertainment,United States of America,2000,$90000000,$60874615.0
To Kill a Mockingbird,Crime-Drama,en,Universal Pictures,United States of America,1962,$2000000,$13129846.0
Dolphins and Whales- Tribes of the Ocean,Documentary,en,3D Entertainment,Bahamas,2008,$6000000,$7518876.0
Cars 2,Animation-Family-Adventure-Comedy,en,Walt Disney Pictures,United States of America,2011,$200000000,$559852396.0
Dark Places,Drama-Mystery-Thriller,en,Denver and Delilah Productions,France,2015,$20000000,$208588.0
Argo,Drama-Thriller,en,GK Films,United States of America,2012,$44500000,$232324128.0
The Curlew's Cry,Drama-Romance,ar,Barakat Film,Egypt,1959,$150000,$200000.0
Rock Sangkut,TV Movie-Drama,en,MW Entertainment Sdn Bhd,Malaysia,2014,$100000,$100000.0
Dreamship Surprise - Period 1,Comedy-Science Fiction,de,Constantin Film,Germany,2004,$9000000,$76341401.0
A Place Called Chiapas,Documentary,en,none,Canada,1998,$891000,$229000.0
The Cat's Meow,Drama-Mystery-Thriller,en,Lions Gate Films,Germany,2001,$7000000,$3646994.0
Did You Hear About the Morgans-,Comedy,en,Columbia Pictures,United States of America,2009,$58000000,$85280250.0
Race Gurram 2,Comedy-Action-Drama,en,none,India,2017,$8100000,$16000000.0
The Change-Up,Comedy,en,Universal Pictures,United States of America,2011,$52000000,$75450437.0
Charlie,Drama-Romance,ml,Finding Cinema,India,2015,$1900000,$5900000.0
The Simpsons Movie,Animation-Comedy-Family,en,Gracie Films,United States of America,2007,$75000000,$527068851.0
The Ward,Horror-Thriller,en,North by Northwest Entertainment,United States of America,2010,$10000000,$498974.0
Ace Ventura- When Nature Calls,Crime-Comedy-Adventure,en,O Entertainment,United States of America,1995,$30000000,$212385533.0
Clue,Comedy-Thriller-Crime-Mystery,en,Paramount Pictures,United States of America,1985,$15000000,$14643997.0
Kireedam,Drama,ta,Suresh Cine Arts,India,2007,$500000,$500000.0
The Gallows,Horror-Thriller,en,New Line Cinema,United States of America,2015,$100000,$42664410.0
Babu Bangaram,Action-Comedy-Romance,te,Sitara Entertainments,India,2016,$4200000,$6900000.0
The Great Escape,Adventure-Drama-History-Thriller-War,en,United Artists,United States of America,1963,$4000000,$11744471.0
The Flintstones,Fantasy-Comedy-Family,en,Universal Pictures,United States of America,1994,$46000000,$341631208.0
Seeking Justice,Action-Drama-Thriller,en,Endgame Entertainment,United States of America,2011,$17000000,$12355798.0
My Fair Lady,Drama-Family-Music-Romance,en,Warner Bros.,United States of America,1964,$17000000,$72070731.0
Midnight in Paris,Fantasy-Comedy-Romance,en,Gravier Productions,Spain,2011,$30000000,$151119219.0
Crossroads,Action-Adventure-Comedy-Drama-Family-Music-Romance,en,Paramount Pictures,United States of America,2002,$12000000,$61141030.0
The Day the Earth Stood Still,Drama-Science Fiction-Thriller,en,Twentieth Century Fox Film Corporation,Canada,2008,$80000000,$233093859.0
Kung Fu Panda,Adventure-Animation-Family-Comedy,en,DreamWorks Animation,United States of America,2008,$130000000,$631744560.0
Unlawful Entry,Crime-Thriller,en,20th Century Fox,Japan,1992,$23000000,$57138719.0
